Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
False 	 2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000001205000 	 0.000000000259901 	 0.033869369388209 	 16.697 	 87636.3636 	 829875518.6721991301 	 0.000000000635000 	 0.000000000000014 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000000823750 	 0.000000000171794 	 0.035820122182904 	 19.655 	  4144.6541 	 1213960546.2822458744 	 0.000000000585000 	 0.000000000000199 	 True 	 True 	 True 	 True 
False 	 10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 15 	 80 	 0.000000001287500 	 0.000000000246935 	 0.096539222950064 	 22.505 	  4204.0816 	 776699029.1262136698 	 0.000000000583000 	 0.000000000000306 	 True 	 True 	 True 	 True 
False 	 25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 50 	 80 	 0.000000000895000 	 0.000000000177393 	 0.231171886300472 	 23.748 	  1854.9223 	 1117318435.7541897297 	 0.000000000773000 	 0.000000000000483 	 True 	 True 	 True 	 True 
False 	 75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 True 	 True 
False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000006050000 	 0.000000001435644 	 0.074835178076804 	 19.793 	  5761.9048 	 165289256.1983470917 	 0.000000000651000 	 0.000000000001050 	 True 	 True 	 True 	 True 
True 	 5 	 20 	 0.000000027050000 	 0.000000001980198 	 0.258052338195878 	 39.970 	  2235.5372 	 36968576.7097966745 	 0.000000000599000 	 0.000000000012100 	 True 	 True 	 True 	 True 
False 	 8 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 10 	 20 	 0.000000005400000 	 0.000000001336634 	 0.348370656564435 	 22.585 	  1700.7874 	 185185185.1851851940 	 0.000000000476000 	 0.000000000003175 	 True 	 True 	 True 	 True 
False 	 15 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 25 	 20 	 0.000000004110000 	 0.000000000891089 	 0.580617760940724 	 25.216 	  1577.7351 	 243309002.4330900311 	 0.000000000564000 	 0.000000000002605 	 True 	 True 	 True 	 True 
False 	 50 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 75 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 2 	 5 	 0.000000049200000 	 0.000000010386610 	 0.541418381948108 	 8.814 	 820000.0000 	 20325203.2520325184 	 0.000000000452000 	 0.000000000000060 	 True 	 True 	 True 	 True 
True 	 5 	 5 	 0.000000067400000 	 0.000000003762376 	 0.490299442572168 	 50.027 	  1488.9868 	 14836795.2522255182 	 0.000000000611000 	 0.000000000045400 	 True 	 True 	 True 	 True 
False 	 8 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 10 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 15 	 5 	 0.000000020000000 	 0.000000005082508 	 1.987003004108241 	 17.294 	 500000.0000 	 50000000.0000000000 	 0.000000000502000 	 0.000000000000040 	 True 	 True 	 True 	 True 
True 	 25 	 5 	 0.000000006380000 	 0.000000001782178 	 1.161235521881448 	 18.496 	  2058.0645 	 156739811.9122257233 	 0.000000000466000 	 0.000000000003100 	 True 	 True 	 True 	 True 
False 	 50 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
False 	 75 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
