Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000497500 	 0.000000000076038 	 0.003963604744968 	 8.252 	   594.9178 	 2010050251.2562813759 	 0.000000001110000
5 	 80 	 0.000000001512500 	 0.000000000256215 	 0.033389061710332 	 20.887 	  2847.0588 	 661157024.7933883667 	 0.000000000517000
8 	 80 	 0.000000001037500 	 0.000000000172573 	 0.035982637858670 	 24.295 	  1325.8786 	 963855421.6867469549 	 0.000000000556000
10 	 80 	 0.000000000457500 	 0.000000000087278 	 0.022747644623297 	 25.261 	   628.8660 	 2185792349.7267761230 	 0.000000000513000
15 	 80 	 0.000000001450000 	 0.000000000326633 	 0.127697005044418 	 26.356 	  2572.0621 	 689655172.4137930870 	 0.000000000407000
25 	 80 	 0.000000000355000 	 0.000000000064798 	 0.042221007065968 	 29.202 	   337.6932 	 2816901408.4507040977 	 0.000000000600000
50 	 80 	 0.000000000960000 	 0.000000000178855 	 0.233077192068251 	 28.746 	  1002.6110 	 1041666666.6666667461 	 0.000000000647000
75 	 80 	 0.000000000755000 	 0.000000000142158 	 0.277883158750503 	 31.942 	   815.1147 	 1324503311.2582781315 	 0.000000000515000
100 	 80 	 0.000000000482500 	 0.000000000100503 	 0.261942574450087 	 31.348 	   764.3564 	 2072538860.1036267281 	 0.000000001120000
2 	 20 	 0.000000008500000 	 0.000000001307855 	 0.068174001613456 	 17.743 	 73913.0435 	 117647058.8235294223 	 0.000000000391000
5 	 20 	 0.000000008350000 	 0.000000001619942 	 0.211105035329839 	 21.157 	  7455.3571 	 119760479.0419161618 	 0.000000000524000
8 	 20 	 0.000000003095000 	 0.000000000536895 	 0.111945984449194 	 27.176 	  1495.1691 	 323101777.0597738028 	 0.000000000645000
10 	 20 	 0.000000006950000 	 0.000000001457286 	 0.379816732952626 	 25.534 	  2602.9963 	 143884892.0863309503 	 0.000000000569000
15 	 20 	 0.000000000630000 	 0.000000000113991 	 0.044564703784732 	 33.065 	   149.1124 	 1587301587.3015871048 	 0.000000000467000
25 	 20 	 0.000000005100000 	 0.000000000954774 	 0.622113614318958 	 27.707 	  2094.4559 	 196078431.3725489974 	 0.000000000516000
50 	 20 	 0.000000002885000 	 0.000000000271357 	 0.353622475507618 	 44.856 	   349.6970 	 346620450.6065858006 	 0.000000000499000
75 	 20 	 0.000000001665000 	 0.000000000251256 	 0.491142327093910 	 34.451 	   448.1830 	 600600600.6006006002 	 0.000000000669000
100 	 20 	 0.000000001980000 	 0.000000000452261 	 1.178741585025392 	 34.572 	   440.9800 	 505050505.0505051017 	 0.000000001030000
2 	 5 	 0.000000057600000 	 0.000000010790796 	 0.562487212503342 	 10.645 	 2880000.0000 	 17361111.1111111119 	 0.000000000354000
5 	 5 	 0.000000029400000 	 0.000000002613065 	 0.340525346785113 	 33.245 	  1235.2941 	 34013605.4421768710 	 0.000000000449000
8 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 5 	 0.000000042600000 	 0.000000003152605 	 0.821672496696062 	 50.184 	  1392.1569 	 23474178.4037558697 	 0.000000000532000
15 	 5 	 0.000000025000000 	 0.000000005628141 	 2.200317625380733 	 24.963 	  1750.7003 	 40000000.0000000000 	 0.000000000407000
25 	 5 	 0.000000008000000 	 0.000000001555144 	 1.013304169583223 	 26.091 	   256.4103 	 125000000.0000000000 	 0.000000000441000
50 	 5 	 0.000000002260000 	 0.000000000431632 	 0.562487212503343 	 30.708 	   134.0451 	 442477876.1061947346 	 0.000000000391000
75 	 5 	 0.000000001776000 	 0.000000000201005 	 0.392913861675132 	 40.610 	    86.2136 	 563063063.0630630255 	 0.000000000412000
100 	 5 	 0.000000001930000 	 0.000000000312087 	 0.813400625923950 	 37.436 	    83.9130 	 518134715.0259066820 	 0.000000000415000
2 	 80 	 0.000000002187500 	 0.000000000403332 	 0.021024338212441 	 17.493 	 1750000.0000 	 457142857.1428571939 	 0.000000000408000
5 	 80 	 0.000000002525000 	 0.000000000505819 	 0.065916470215236 	 21.982 	 11098.9011 	 396039603.9603960514 	 0.000000000811000
8 	 80 	 0.000000001450000 	 0.000000000246628 	 0.051423463299938 	 24.720 	  1250.0000 	 689655172.4137930870 	 0.000000000647000
10 	 80 	 0.000000001250000 	 0.000000000175879 	 0.045839950528765 	 31.069 	  1005.0251 	 800000000.0000000000 	 0.000000000533000
15 	 80 	 0.000000000333750 	 0.000000000038614 	 0.015096164159097 	 29.282 	   457.9760 	 2996254681.6479396820 	 0.000000000778000
25 	 80 	 0.000000000832500 	 0.000000000155382 	 0.101244251637780 	 25.907 	  2513.2075 	 1201201201.2012012005 	 0.000000000514000
50 	 80 	 0.000000001375000 	 0.000000000289606 	 0.377404103977427 	 27.200 	  2231.2373 	 727272727.2727272511 	 0.000000000675000
75 	 80 	 0.000000001350000 	 0.000000000277704 	 0.542841519419587 	 29.600 	  2080.9249 	 740740740.7407407761 	 0.000000000686000
100 	 80 	 0.000000001108750 	 0.000000000213568 	 0.556627970706436 	 30.893 	  1066.1058 	 901916572.7170238495 	 0.000000000778000
2 	 20 	 0.000000001945000 	 0.000000000376884 	 0.019645693083756 	 16.069 	 389000.0000 	 514138817.4807198048 	 0.000000000371000
5 	 20 	 0.000000005200000 	 0.000000000880719 	 0.114772206962998 	 22.264 	  2826.0870 	 192307692.3076922894 	 0.000000000674000
8 	 20 	 0.000000001655000 	 0.000000000317376 	 0.066174966176864 	 23.406 	  1000.0000 	 604229607.2507553101 	 0.000000000606000
10 	 20 	 0.000000001805000 	 0.000000000311558 	 0.081202198079526 	 23.936 	  5918.0328 	 554016620.4986150265 	 0.000000000558000
15 	 20 	 0.000000004840000 	 0.000000000871463 	 0.340697677426196 	 23.881 	  1369.1655 	 206611570.2479338646 	 0.000000000542000
25 	 20 	 0.000000008600000 	 0.000000001757472 	 1.145137110013694 	 24.928 	  4343.4343 	 116279069.7674418688 	 0.000000000636000
50 	 20 	 0.000000003705000 	 0.000000000703518 	 0.916799010575305 	 29.932 	  1332.7338 	 269905533.0634278059 	 0.000000000490000
75 	 20 	 0.000000002235000 	 0.000000000420524 	 0.822017157978227 	 29.840 	   820.1835 	 447427293.0648769140 	 0.000000000529000
100 	 20 	 0.000000003240000 	 0.000000000653266 	 1.702626733925564 	 33.266 	   984.8024 	 308641975.3086419702 	 0.000000000501000
2 	 5 	 0.000000071800000 	 0.000000003300714 	 0.172054912059846 	 48.539 	  1375.4789 	 13927576.6016713083 	 0.000000000525000
5 	 5 	 0.000000032000000 	 0.000000005241999 	 0.683118661263247 	 24.017 	  3071.0173 	 31250000.0000000000 	 0.000000000496000
8 	 5 	 0.000000021600000 	 0.000000002010050 	 0.419108119120140 	 38.347 	  1130.8901 	 46296296.2962962985 	 0.000000000480000
10 	 5 	 0.000000072600000 	 0.000000014916689 	 3.887779262890735 	 21.835 	  9945.2055 	 13774104.6831955928 	 0.000000000420000
15 	 5 	 0.000000034000000 	 0.000000007045755 	 2.754532967111968 	 25.106 	  3803.1320 	 29411764.7058823556 	 0.000000000432000
25 	 5 	 0.000000012960000 	 0.000000002613065 	 1.702626733925564 	 31.036 	   466.1871 	 77160493.8271604925 	 0.000000000426000
50 	 5 	 0.000000006000000 	 0.000000001045226 	 1.362101387140456 	 34.744 	   387.0968 	 166666666.6666666865 	 0.000000000550000
75 	 5 	 0.000000003800000 	 0.000000000704576 	 1.377266483555984 	 32.745 	   247.0741 	 263157894.7368420959 	 0.000000000466000
100 	 5 	 0.000000002440000 	 0.000000000462312 	 1.204935842470402 	 37.536 	   126.1634 	 409836065.5737704635 	 0.000000000395000
2 	 80 	 0.000000002162500 	 0.000000000251256 	 0.013097128722504 	 -2.037 	 1730000.0000 	 462427745.6647399068 	 0.000000000312000
