Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000001475000 	 0.000000000225000 	 0.011728478771003 	 15.721 	  8872.1805 	 677966101.6949152946 	 0.000000000129000
5 	 80 	 0.000000000315000 	 0.000000000042500 	 0.005538448308529 	 25.265 	 100800.0000 	 3174603174.6031742096 	 0.000000000364000
8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 80 	 0.000000000252500 	 0.000000000028750 	 0.007493194770363 	 29.160 	 16833.3333 	 3960396039.6039605141 	 0.000000000225000
15 	 80 	 0.000000000322500 	 0.000000000036250 	 0.014171911848295 	 29.814 	  8190.4762 	 3100775193.7984495163 	 0.000000000189000
25 	 80 	 0.000000000240000 	 0.000000000027500 	 0.017918509233476 	 30.263 	  4042.1053 	 4166666666.6666669846 	 0.000000000216000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000003085000 	 0.000000000476667 	 0.024846999470420 	 21.150 	 154250.0000 	 324149108.5899513364 	 0.000000000120000
5 	 20 	 0.000000000955000 	 0.000000000140667 	 0.018331177930974 	 23.997 	 38200.0000 	 1047120418.8481676579 	 0.000000000135000
8 	 20 	 0.000000000660000 	 0.000000000095000 	 0.019808097479915 	 26.830 	 132000.0000 	 1515151515.1515150070 	 0.000000000063200
10 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
15 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 20 	 0.000000000048100 	 0.000000000005547 	 0.003614109013879 	 25.286 	   601.2500 	 20790020790.0207901001 	 0.000000000012800
50 	 20 	 0.000000000047000 	 0.000000000005177 	 0.006746047233840 	 29.246 	   783.3333 	 21276595744.6808509827 	 0.000000000052000
75 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 5 	 0.000000008480000 	 0.000000001290667 	 0.067278029335292 	 20.514 	 424000.0000 	 117924528.3018867821 	 0.000000000158000
5 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 5 	 0.000000004260000 	 0.000000000601333 	 0.125381781943043 	 24.726 	 426000.0000 	 234741784.0375587046 	 0.000000000097200
10 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
15 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 80 	 0.000000000822500 	 0.000000000125000 	 0.006515821539446 	 11.602 	 1316000.0000 	 1215805471.1246201992 	 0.000000000093700
5 	 80 	 0.000000001025000 	 0.000000000139333 	 0.018157422689922 	 24.071 	 820000.0000 	 975609756.0975610018 	 0.000000000182000
8 	 80 	 0.000000000240000 	 0.000000000025000 	 0.005212657231557 	 29.724 	 10971.4286 	 4166666666.6666669846 	 0.000000000146000
10 	 80 	 0.000000000126250 	 0.000000000017750 	 0.004626233293007 	 23.459 	  3060.6061 	 7920792079.2079210281 	 0.000000000048300
15 	 80 	 0.000000000131250 	 0.000000000016750 	 0.006548400647143 	 25.095 	  2441.8605 	 7619047619.0476188660 	 0.000000000148000
25 	 80 	 0.000000000176250 	 0.000000000018750 	 0.012217165386461 	 31.333 	  3133.3333 	 5673758865.2482271194 	 0.000000000095100
50 	 80 	 0.000000000098000 	 0.000000000012500 	 0.016289553848615 	 29.909 	  3200.0000 	 10204081632.6530628204 	 0.000000000177000
75 	 80 	 0.000000000036750 	 0.000000000004633 	 0.009056991939830 	 29.640 	  4200.0000 	 27210884353.7414932251 	 0.000000000152000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000001255000 	 0.000000000148333 	 0.007732108226809 	 14.758 	 502000.0000 	 796812749.0039839745 	 0.000000000098000
5 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 20 	 0.000000000225500 	 0.000000000029567 	 0.006164835952521 	 24.659 	 90200.0000 	 4434589800.4434585571 	 0.000000000051600
10 	 20 	 0.000000000750000 	 0.000000000110000 	 0.028669614773562 	 25.328 	  1315.7895 	 1333333333.3333334923 	 0.000000000014200
15 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 20 	 0.000000000187000 	 0.000000000023633 	 0.015399058238224 	 25.022 	  2493.3333 	 5347593582.8877010345 	 0.000000000000450
50 	 20 	 0.000000000068000 	 0.000000000008067 	 0.010512192083639 	 29.932 	  1182.6087 	 14705882352.9411773682 	 0.000000000017500
75 	 20 	 0.000000000016950 	 0.000000000001647 	 0.003218815840486 	 28.236 	  1130.0000 	 58997050147.4926147461 	 -0.000000000000350
100 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 5 	 0.000000008180000 	 0.000000001328000 	 0.069224088035073 	 17.444 	 818000.0000 	 122249388.7530562282 	 0.000000000174000
5 	 5 	 0.000000004860000 	 0.000000000757333 	 0.098692976917473 	 25.560 	 243000.0000 	 205761316.8724280000 	 0.000000000043300
8 	 5 	 0.000000000508000 	 0.000000000059333 	 0.012371373162895 	 27.680 	  5080.0000 	 1968503937.0078740120 	 0.000000000001550
10 	 5 	 0.000000006660000 	 0.000000000940000 	 0.244994889883164 	 26.203 	 66600.0000 	 150150150.1501501501 	 0.000000000001400
15 	 5 	 0.000000000910000 	 0.000000000112000 	 0.043786320745076 	 26.625 	  2022.2222 	 1098901098.9010987282 	 0.000000000211000
25 	 5 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
