Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 80 	 0.000000005062500 	 0.000000000879397 	 0.183359802115060 	 -2.476 	 368181.8182 	 197530864.1975308657 	 0.000000000637000
10 	 80 	 0.000000001238750 	 0.000000000198911 	 0.051842801193246 	 2.189 	 141571.4286 	 807265388.4964681864 	 0.000000000612000
15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 80 	 0.000000002725000 	 0.000000000426717 	 0.278041128504829 	 4.640 	 14248.3660 	 366972477.0642201900 	 0.000000000607000
50 	 80 	 0.000000001207500 	 0.000000000262144 	 0.341616774178653 	 5.166 	  9564.3564 	 828157349.8964803219 	 0.000000000590000
75 	 80 	 0.000000001587500 	 0.000000000314070 	 0.613927908867387 	 4.197 	 10409.8361 	 629921259.8425196409 	 0.000000000546000
100 	 80 	 0.000000001662500 	 0.000000000278057 	 0.724707789311901 	 4.605 	  8807.9470 	 601503759.3984961510 	 0.000000000546000
2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 20 	 0.000000010200000 	 0.000000001916248 	 0.399549740227863 	 2.563 	 408000.0000 	 98039215.6862744987 	 0.000000000474000
10 	 20 	 0.000000012500000 	 0.000000000907873 	 0.236621458919911 	 20.694 	  4194.6309 	 80000000.0000000000 	 0.000000000561000
15 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
