Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 80 	 0.000000000000007 	 0.000000000000361 	 0.000075316830443 	 -0.625 	 85310.0000 	 133333333333333.3437500000 	 0.000000850700000
10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000033550000 	 0.000000006588713 	 0.343447036084450 	 11.636 	 11792.6186 	 29806259.3144560382 	 0.000000000502600
5 	 20 	 0.000000026455000 	 0.000000005343654 	 0.696365907608322 	 13.763 	 14071.8085 	 37800037.8000377938 	 0.000000000542700
8 	 20 	 0.000000026640000 	 0.000000005943127 	 1.239179340993251 	 8.523 	 15670.5882 	 37537537.5375375375 	 0.000000000514100
10 	 20 	 0.000000016355000 	 0.000000004134827 	 1.077671669633425 	 10.139 	 18376.4045 	 61143381.2289819568 	 0.000000000532300
15 	 20 	 0.000000013905000 	 0.000000002833663 	 1.107818432882465 	 10.899 	  9932.1429 	 71916576.7709456980 	 0.000000000553400
