Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
False 	 2 	 80 	 0.000012500000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000012498750000 	 True 	 True 	 False 	 True 
False 	 5 	 80 	 0.000000001765000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004920 	 True 	 True 	 False 	 True 
False 	 8 	 80 	 0.000000001608750 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004386 	 True 	 True 	 False 	 True 
False 	 10 	 80 	 0.000000001407500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004773 	 True 	 True 	 False 	 True 
False 	 15 	 80 	 0.000000001276875 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000005586 	 True 	 True 	 False 	 True 
False 	 25 	 80 	 0.000000001089625 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004100 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000000691000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004321 	 True 	 True 	 False 	 True 
False 	 75 	 80 	 0.000000000948125 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004955 	 True 	 True 	 False 	 True 
False 	 100 	 80 	 0.000000000287500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004722 	 True 	 True 	 False 	 True 
True 	 2 	 20 	 0.000000008970000 	 0.000000000371473 	 0.019363601080502 	 5.958 	  7903.0837 	 3610.58171 	 111482720.1783723533 	 0.000000000491200 	 0.000000000001135 	 True 	 True 	 True 	 True 
False 	 5 	 20 	 0.000000025155000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000027230 	 True 	 True 	 False 	 True 
False 	 8 	 20 	 0.000000021105000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000068500 	 True 	 True 	 False 	 True 
False 	 10 	 20 	 0.000000039405000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000180550 	 True 	 True 	 False 	 True 
False 	 15 	 20 	 0.000000013905000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000018495 	 True 	 True 	 False 	 True 
True 	 25 	 20 	 0.000000003074500 	 0.000000000148937 	 0.097044686476555 	 11.639 	  1605.4830 	 4283.70996 	 325256139.2096275687 	 0.000000000522700 	 0.000000000001915 	 True 	 True 	 True 	 True 
False 	 50 	 20 	 0.000000000756500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000013870 	 True 	 True 	 False 	 True 
False 	 75 	 20 	 0.000000000915000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000017300 	 True 	 True 	 False 	 True 
False 	 100 	 20 	 0.000000000172500 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014075 	 True 	 True 	 False 	 True 
True 	 2 	 5 	 0.000000040140000 	 0.000000001587940 	 0.082773853526227 	 3.828 	  5226.5625 	 3502.76311 	 24912805.1818634793 	 0.000000000489300 	 0.000000000007680 	 True 	 True 	 True 	 True 
True 	 5 	 5 	 0.000000042580000 	 0.000000001649787 	 0.214994405337107 	 4.266 	  3225.7576 	 3027.61664 	 23485204.3212775923 	 0.000000000489100 	 0.000000000013200 	 True 	 True 	 True 	 True 
True 	 8 	 5 	 0.000000030340000 	 0.000000001306533 	 0.272420277428087 	 4.128 	  2694.4938 	 3489.90693 	 32959789.0573500395 	 0.000000000470600 	 0.000000000011260 	 True 	 True 	 True 	 True 
True 	 10 	 5 	 0.000000035300000 	 0.000000001337457 	 0.348585118306650 	 3.643 	  1443.1725 	 4061.80130 	 28328611.8980170004 	 0.000000000534700 	 0.000000000024460 	 True 	 True 	 True 	 True 
True 	 15 	 5 	 0.000000019290000 	 0.000000000733668 	 0.286827119022843 	 4.402 	  1698.0634 	 4042.09074 	 51840331.7781233862 	 0.000000000491400 	 0.000000000011360 	 True 	 True 	 True 	 True 
True 	 25 	 5 	 0.000000011554000 	 0.000000000460765 	 0.300226489177403 	 4.971 	  2674.5370 	 18856.57337 	 86550112.5151462704 	 0.000000000534200 	 0.000000000004320 	 True 	 True 	 True 	 True 
False 	 50 	 5 	 0.000000006894000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000058080 	 True 	 True 	 False 	 True 
False 	 75 	 5 	 0.000000004264000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000081500 	 True 	 True 	 False 	 True 
False 	 100 	 5 	 -0.000000000001120 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000000000 	 True 	 True 	 False 	 True 
True 	 2 	 80 	 0.000000002303750 	 0.000000000098732 	 0.005146576263911 	 6.368 	  5235.7955 	 3440.18631 	 434074877.9164406061 	 0.000000006560000 	 0.000000000000440 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000005235000 	 0.000000000187621 	 0.024450072514175 	 4.745 	  2596.4042 	 3089.30041 	 191021967.5262655020 	 0.000000000519800 	 0.000000000002016 	 True 	 True 	 True 	 True 
True 	 8 	 80 	 0.000000003226250 	 0.000000000128141 	 0.026718142593908 	 4.310 	  3230.2879 	 3498.94851 	 309957380.8601317406 	 0.000000000506000 	 0.000000000000999 	 True 	 True 	 True 	 True 
True 	 10 	 80 	 0.000000005205000 	 0.000000000219849 	 0.057299938160956 	 5.667 	  3688.2197 	 2802.15145 	 192122958.6935639083 	 0.000000000519200 	 0.000000000001411 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000002132500 	 0.000000000094608 	 0.036986795248072 	 8.470 	  1954.1810 	 3602.37359 	 468933177.0222742558 	 0.000000000499500 	 0.000000000001091 	 True 	 True 	 True 	 True 
False 	 25 	 80 	 0.000000001277250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004144 	 True 	 True 	 False 	 True 
False 	 50 	 80 	 0.000000000999875 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004457 	 True 	 True 	 False 	 True 
False 	 75 	 80 	 0.000000000406250 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000004609 	 True 	 True 	 False 	 True 
