Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 80 	 0.000000000009450 	 0.000000000001433 	 0.000373526664553 	 40.383 	     8.0683 	 105820105820.1058197021 	 0.000000001080000
15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 80 	 0.000000000010262 	 0.000000000001035 	 0.000674243633247 	 39.857 	     9.3508 	 97442143727.1620025635 	 0.000000001240000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000002040000 	 0.000000000185004 	 0.009643622675149 	 40.664 	   121.0682 	 490196078.4313725829 	 0.000000031800000
5 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 20 	 0.000000000161000 	 0.000000000023129 	 0.004822500660139 	 37.656 	    29.2727 	 6211180124.2236022949 	 0.000000000672000
10 	 20 	 0.000000000187000 	 0.000000000028246 	 0.007361964987176 	 41.326 	    42.5484 	 5347593582.8877010345 	 0.000000000748000
15 	 20 	 0.000000000005950 	 0.000000000000856 	 0.000334493774347 	 45.786 	     1.0000 	 168067226890.7562866211 	 0.000000001470000
