Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag
True 	 2 	 80 	 0.000000486312500 	 0.000000013658088 	 0.711949324089451 	 13.640 	 1788735.6322 	 1782.77101 	 2056290.9651715716 	 0.000000000008950 	 0.000000000000272 	 True 	 True 	 True 	 True 
True 	 5 	 80 	 0.000000244562500 	 0.000000008797794 	 1.146497128227496 	 18.947 	 966172.8395 	 2362.17555 	 4088934.3214924610 	 0.000000000005800 	 0.000000000000253 	 True 	 True 	 True 	 True 
False 	 8 	 80 	 0.000012501250000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000012501250000 	 True 	 True 	 True 	 False 
True 	 10 	 80 	 0.000000121581250 	 0.000000004316728 	 1.125081155961817 	 17.891 	 520133.6898 	 1794.88857 	 8224952.4494936503 	 0.000000000010300 	 0.000000000000234 	 True 	 True 	 True 	 True 
True 	 15 	 80 	 0.000000127643750 	 0.000000004817279 	 1.883311977162333 	 22.525 	 356422.3386 	 1412.18760 	 7834304.4606571011 	 0.000000000047000 	 0.000000000000358 	 True 	 True 	 True 	 True 
True 	 25 	 80 	 0.000000062550000 	 0.000000002007721 	 1.308194905401245 	 17.131 	 130312.5000 	 1555.34825 	 15987210.2318145502 	 0.000000000036850 	 0.000000000000480 	 True 	 True 	 True 	 True 
True 	 50 	 80 	 0.000000079050000 	 0.000000002588971 	 3.373854064763070 	 18.983 	 169317.2691 	 1145.85896 	 12650221.3788741305 	 0.000000000028900 	 0.000000000000467 	 True 	 True 	 True 	 True 
True 	 75 	 80 	 0.000000031631250 	 0.000000001031066 	 2.015472960372342 	 16.852 	 60829.3269 	 1457.35688 	 31614305.4732266366 	 -0.000000000010000 	 0.000000000000520 	 True 	 True 	 True 	 True 
True 	 100 	 80 	 0.000000000894563 	 0.000000000047272 	 0.123206519638522 	 32.738 	  2331.1075 	 2939.16242 	 1117864878.0828616619 	 -0.000000000004700 	 0.000000000000384 	 True 	 True 	 True 	 True 
True 	 2 	 20 	 0.000000127150000 	 0.000000003952941 	 0.206053274094476 	 10.614 	 28524.9579 	 1364.97398 	 7864726.7007471491 	 0.000000000090200 	 0.000000000004457 	 True 	 True 	 True 	 True 
