Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 R_total (ohm-um) 	 Gate Leakage (A)
2 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
5 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
8 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
10 	 80 	 0.000000002400000 	 0.000000000160322 	 0.041785096709342 	 -6.067 	   868.7783 	 416666666.6666666269 	 0.000000064200000
15 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
25 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
50 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
75 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	 0.0000000000 	 0.000000000000000
2 	 20 	 0.000000049450000 	 0.000000016239090 	 0.846488109012382 	 2.473 	 100918.3673 	 20222446.9160768464 	 0.000000000363000
5 	 20 	 0.000000052000000 	 0.000000012562814 	 1.637141090313041 	 13.194 	 26130.6533 	 19230769.2307692319 	 0.000000000441000
8 	 20 	 0.000000039500000 	 0.000000010050251 	 2.095540595600696 	 14.107 	 90804.5977 	 25316455.6962025352 	 0.000000000426000
10 	 20 	 0.000000030000000 	 0.000000006664903 	 1.737092862142674 	 18.960 	  8810.5727 	 33333333.3333333358 	 0.000000000400000
15 	 20 	 0.000000003475000 	 0.000000000452261 	 0.176811237753809 	 21.060 	  1824.1470 	 287769784.1726619005 	 0.000000000418000
