Devices 	 Flag 	 Length (um) 	 Width (um) 	 Drain Current (A/um) 	 Transconductance_Max(S/um) 	 Mobility (cm2/V-s) 	 Threshold (V) 	 OnOff 	 SS (mV/dec) 	 R_total (ohm-um) 	 Gate Leakage (A) 	 Drain_off_current (A/um) 	 Data_Flag 	 Gate_Flag 	 OnOff_Flag 	 Threshold_Flag 	 Fail_Mech
0 	 True 	 2 	 80 	 0.000000003512500 	 0.000000000097721 	 0.005093839309367 	 0.265 	 5720000.0000 	    0.00000 	 284697508.8967971802 	 0.000000000225000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
1 	 True 	 4 	 80 	 0.000000003537500 	 0.000000000125000 	 0.013031643078892 	 39.303 	  3493.8272 	 1650.76319 	 282685512.3674911857 	 0.000000000214000 	 0.000000000001012 	 True 	 True 	 True 	 True 	 0 
2 	 True 	 6 	 80 	 0.000000004200000 	 0.000000000158934 	 0.024854026336786 	 13.207 	 1735000.0000 	 1381.00678 	 238095238.0952380896 	 0.000000000229000 	 0.000000000000002 	 True 	 True 	 True 	 True 	 0 
3 	 True 	 8 	 80 	 0.000000001550000 	 0.000000000054412 	 0.011345195151035 	 16.280 	 2480000.0000 	    0.00000 	 645161290.3225805759 	 0.000000000239000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
4 	 False 	 10 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000001763 	 True 	 True 	 False 	 True 	 30 
5 	 True 	 20 	 80 	 0.000000000031875 	 0.000000000002551 	 0.001329994161287 	 19.056 	 57800.0000 	    0.00000 	 31372549019.6078453064 	 0.000000000222000 	 0.000000000000001 	 True 	 True 	 True 	 True 	 0 
6 	 False 	 100 	 80 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000003350 	 True 	 True 	 False 	 True 	 30 
7 	 False 	 2 	 20 	 0.000000000000000 	 0.000000000000000 	 0.000000000000000 	 0.000 	     0.0000 	    0.00000 	 0.0000000000 	 0.000000000000000 	 0.000000000014200 	 True 	 True 	 True 	 False 	 40 
8 	 True 	 4 	 20 	 0.000000022200000 	 0.000000000848529 	 0.088461859488477 	 15.767 	 4870000.0000 	 1474.26294 	 45045045.0450450480 	 0.000000000200000 	 0.000000000000005 	 True 	 True 	 True 	 True 	 0 
9 	 True 	 6 	 20 	 0.000000016200000 	 0.000000000697500 	 0.109074852570324 	 14.317 	 800000.0000 	 1570.90229 	 61728395.0617283955 	 0.000000000207000 	 0.000000000000025 	 True 	 True 	 True 	 True 	 0 
10 	 True 	 8 	 20 	 0.000000012400000 	 0.000000000367647 	 0.076656723993481 	 13.723 	 826666.6667 	 1790.93240 	 80645161.2903225720 	 0.000000000204000 	 0.000000000000015 	 True 	 True 	 True 	 True 	 0 
11 	 True 	 10 	 20 	 0.000000017500000 	 0.000000000694118 	 0.180909868624614 	 14.411 	 1114285.7143 	 1657.16763 	 57142857.1428571492 	 0.000000000202000 	 0.000000000000018 	 True 	 True 	 True 	 True 	 0 
